Step,Variation,Type,Title,Text,Followers,Views,Engagement,Income,Subscribers,CostName,CostVal,Explanation
1,profile_conversion_a,Question,The 10‑Second Profile Audit,"You’re getting views, but the follow button isn’t moving. When someone taps your profile, do they understand who you are and what you deliver in under 10 seconds?",0.000000,0.000000,,0.000000,0.000000,,,
1,profile_conversion_a,Choice,Focused creator identity shoot,A short professional session for profile photo + thumbnails + a few hero images. The goal isn’t ‘luxury’—it’s instant clarity and consistency across your profile.,0.050000,0.250000,3,0.001800,0.000600,Branding Mini-Session,-250,Best when your content already earns views but your profile looks ‘drafty’. The conversion lift can compound for months.
1,profile_conversion_a,Choice,Clarity refresh with what you have,"You tighten your bio promise, pin a “Start here” video, and rebuild thumbnails with a simple repeatable style. Costs time, but it keeps you authentic and fast to iterate.",0.035000,0.180000,1,0.001200,0.000400,Time & Effort,0,Best when your niche is still evolving. You gain clarity without spending money; you pay in time and iteration.
1,profile_conversion_b,Question,Pinned Video Problem,"People land on your page… then bounce. Are your pinned videos and visuals making the right first impression, or are they leaking attention?",0.000000,0.000000,,0.000000,0.000000,,,
1,profile_conversion_b,Choice,Portrait + thumbnail system day,You shoot a cohesive portrait set and a thumbnail system with proper lighting and framing so your profile reads ‘clear’ at a glance.,0.053000,0.280000,3,0.001800,0.000600,Portrait + Thumbnail System,-320,Best when your positioning is already clear. It reduces doubt for new viewers and improves follow-through.
1,profile_conversion_b,Choice,DIY pinned intro + thumbnail system,You script a 12‑second pinned intro and batch-shoot 10 consistent thumbnails with phone + window light. No cost—just discipline.,0.034000,0.180000,1,0.001200,0.000400,Time & Effort,0,"Strong move if you can keep consistency. Small lift, great ROI on time when budgets are tight."
1,profile_conversion_c,Question,Grid Trust Check,"If your profile were a storefront, would people walk in? Your grid and thumbnails signal trust before your best video ever plays.",0.000000,0.000000,,0.000000,0.000000,,,
1,profile_conversion_c,Choice,Creator storefront refresh,"You build a clean ‘creator storefront’: profile portrait, banner/pinned frame, and thumbnail style that reads instantly on mobile.",0.050000,0.250000,3,0.001800,0.000600,Storefront Refresh Session,-280,Most useful when your videos already attract taps. This improves what happens after the tap.
1,profile_conversion_c,Choice,One-hour consistency batch,You create one repeatable DIY lighting spot and shoot 12 consistent thumbnails in one hour. Not fancy—just less visual noise.,0.035000,0.180000,1,0.001200,0.000400,Time & Effort,0,"Works when you can keep the system going. This is a discipline play, not a money play."
2,hook_retention_a,Question,The First 3 Seconds,"Your ideas are solid, but viewers swipe early. Do you earn the next 3 seconds after the first 3?",0.000000,0.000000,,0.000000,0.000000,,,
2,hook_retention_a,Choice,Hook-first edit pass,"A professional edit pass tightens pacing, adds clean captions, and makes the opening land faster. Requires a clear brief.",0.057000,0.400000,4,0.002400,0.000800,Editing Pass,-220,Best when you have good footage but weak structure. Higher lift *only* if direction is clear.
2,hook_retention_a,Choice,Hook rewrite + cut dead time,You test 3 hook scripts and cut the first 1–2 seconds of filler. No spend—just fast learning.,0.045000,0.300000,1,0.001600,0.000500,Time & Effort,0,Often the highest ROI early: clarity + pacing. You improve retention without changing who you are.
2,hook_retention_b,Question,Retention Leak,"You get clicks, then watch time collapses. Your first 6 seconds decide whether anything else matters.",0.000000,0.000000,,0.000000,0.000000,,,
